epoch,phase,trn_loss,trn_binary,trn_drug3,trn_time,trn_supcon,trn_binary_acc,trn_drug3_acc,trn_drug4_acc,trn_time_acc,val_loss,val_binary,val_drug3,val_time,val_supcon,val_binary_acc,val_drug3_acc,val_drug4_acc,val_time_acc,lr_backbone,lr_head,elapsed_s,timestamp
1,A,0.4525,0.4525,0.0,1.6867,0.0,0.7496,0.383,0.421,0.199,0.4808,0.4808,0.0,1.7296,0.0,0.7274,0.3672,0.2677,0.1903,0.00e+00,2.00e-04,955.0,2026-04-17 19:29:38
2,A,0.3397,0.3397,0.0,1.681,0.0,0.8379,0.371,0.4439,0.1962,0.4625,0.4625,0.0,1.8059,0.0,0.7372,0.3647,0.2762,0.191,0.00e+00,2.00e-04,942.2,2026-04-17 19:45:21
3,A,0.2932,0.2932,0.0,1.683,0.0,0.8697,0.3521,0.4464,0.1961,0.5446,0.5446,0.0,1.7804,0.0,0.7289,0.4224,0.3093,0.1964,0.00e+00,2.00e-04,939.3,2026-04-17 20:01:01
4,A,0.2067,0.2067,0.0,1.6751,0.0,0.9093,0.3127,0.4475,0.198,0.36,0.36,0.0,1.7102,0.0,0.7956,0.3754,0.3417,0.1978,5.00e-05,2.00e-04,961.5,2026-04-17 20:17:03
5,A,0.1283,0.1283,0.0,1.6734,0.0,0.9495,0.3024,0.4623,0.1998,0.3391,0.3391,0.0,1.6802,0.0,0.8273,0.3994,0.391,0.1973,5.00e-05,2.00e-04,981.6,2026-04-17 20:33:26
6,A,0.1037,0.1037,0.0,1.6728,0.0,0.958,0.3095,0.4737,0.2011,0.1639,0.1639,0.0,1.7046,0.0,0.9428,0.3475,0.4736,0.1956,5.00e-05,2.00e-04,988.3,2026-04-17 20:49:56
7,A,0.0928,0.0928,0.0,1.6747,0.0,0.9634,0.3106,0.4772,0.1969,0.3183,0.3183,0.0,1.6688,0.0,0.8056,0.3299,0.3188,0.1922,5.00e-05,2.00e-04,984.0,2026-04-17 21:06:22
8,A,0.079,0.079,0.0,1.6729,0.0,0.9692,0.3014,0.4758,0.1964,0.0906,0.0906,0.0,1.6859,0.0,0.9835,0.3205,0.491,0.1901,5.00e-05,2.00e-04,982.6,2026-04-17 21:22:45
9,B,0.0677,0.0677,0.0,1.6733,0.0,0.9767,0.2958,0.4744,0.1984,0.0591,0.0591,0.0,1.6997,0.0,0.9805,0.3447,0.5058,0.1967,5.00e-05,2.00e-04,983.6,2026-04-17 21:39:10
10,B,1.1098,0.0617,0.306,1.5714,0.0,0.9791,0.8768,0.8946,0.25,1.1959,0.1507,0.4918,1.6264,0.0,0.941,0.6952,0.7195,0.2178,5.00e-05,2.00e-04,984.6,2026-04-17 21:55:36
11,B,0.7897,0.0488,0.1634,1.4705,0.0,0.9833,0.9373,0.9412,0.3108,0.954,0.0508,0.2965,1.6724,0.0,0.9882,0.8279,0.865,0.2097,5.00e-05,2.00e-04,984.5,2026-04-17 22:12:02
12,B,0.6971,0.0464,0.131,1.4113,0.0,0.9852,0.9514,0.9524,0.3426,1.0427,0.0367,0.4395,1.6421,0.0,0.9891,0.7824,0.8316,0.2317,5.00e-05,2.00e-04,983.8,2026-04-17 22:28:27
13,B,0.6301,0.0374,0.1144,1.3689,0.0,0.987,0.9568,0.9579,0.3604,0.8737,0.0333,0.2521,1.6072,0.0,0.9893,0.8719,0.897,0.2747,2.50e-05,1.00e-04,985.2,2026-04-17 22:44:53
14,B,0.5334,0.0282,0.0786,1.3235,0.0,0.992,0.9699,0.9717,0.3896,0.9257,0.0422,0.2641,1.6932,0.0,0.9874,0.8725,0.8965,0.2521,2.50e-05,1.00e-04,988.3,2026-04-17 23:01:23
15,B,0.5027,0.0231,0.0721,1.3109,0.0,0.9935,0.975,0.9765,0.3885,0.9391,0.0479,0.3103,1.6176,0.0,0.9852,0.8555,0.8802,0.2735,2.50e-05,1.00e-04,989.5,2026-04-17 23:17:53
16,B,0.4822,0.0224,0.0669,1.2911,0.0,0.9933,0.9747,0.9761,0.4037,1.0159,0.0245,0.4113,1.6663,0.0,0.9932,0.8296,0.8701,0.2601,2.50e-05,1.00e-04,988.1,2026-04-17 23:34:22
17,B,0.4687,0.0216,0.0637,1.279,0.0,0.9936,0.9772,0.978,0.4082,0.7569,0.0289,0.1104,1.6173,0.0,0.9922,0.9442,0.952,0.28,1.25e-05,5.00e-05,984.3,2026-04-17 23:50:47
18,B,0.424,0.014,0.0526,1.2529,0.0,0.996,0.9816,0.9832,0.4191,0.7438,0.0291,0.0721,1.6625,0.0,0.9902,0.966,0.9668,0.2645,1.25e-05,5.00e-05,988.9,2026-04-18 00:07:18
19,B,0.4155,0.0149,0.0497,1.2457,0.0,0.9958,0.9829,0.9839,0.4269,0.847,0.0259,0.21,1.6471,0.0,0.9922,0.9045,0.9235,0.285,1.25e-05,5.00e-05,987.5,2026-04-18 00:23:47
