epoch,phase,trn_loss,trn_binary,trn_drug3,trn_time,trn_supcon,trn_binary_acc,trn_drug3_acc,trn_drug4_acc,trn_time_acc,val_loss,val_binary,val_drug3,val_time,val_supcon,val_binary_acc,val_drug3_acc,val_drug4_acc,val_time_acc,lr_backbone,lr_head,elapsed_s,timestamp
1,A,0.4522,0.4522,0.0,1.6854,0.0,0.7504,0.3813,0.4203,0.1994,0.4948,0.4948,0.0,1.7432,0.0,0.7272,0.3304,0.2409,0.1939,0.00e+00,2.00e-04,839.5,2026-04-16 10:43:01
2,A,0.3396,0.3396,0.0,1.6804,0.0,0.8385,0.3714,0.4437,0.1969,0.4973,0.4973,0.0,1.7915,0.0,0.73,0.3384,0.2499,0.2007,0.00e+00,2.00e-04,848.1,2026-04-16 10:57:10
3,A,0.2939,0.2939,0.0,1.682,0.0,0.8681,0.3578,0.4496,0.1965,0.6092,0.6092,0.0,1.7653,0.0,0.7283,0.4052,0.2961,0.1965,0.00e+00,2.00e-04,862.2,2026-04-16 11:11:32
4,A,0.2082,0.2082,0.0,1.6762,0.0,0.9097,0.3263,0.4575,0.1994,0.3463,0.3463,0.0,1.7005,0.0,0.819,0.2967,0.3079,0.1954,5.00e-05,2.00e-04,868.0,2026-04-16 11:26:01
5,A,0.1257,0.1257,0.0,1.6719,0.0,0.9508,0.3386,0.4893,0.2008,0.3701,0.3701,0.0,1.6894,0.0,0.7965,0.3706,0.341,0.1968,5.00e-05,2.00e-04,873.1,2026-04-16 11:40:36
6,A,0.1033,0.1033,0.0,1.6737,0.0,0.9598,0.3547,0.5073,0.1988,0.1284,0.1284,0.0,1.7146,0.0,0.9691,0.3607,0.5226,0.194,5.00e-05,2.00e-04,868.2,2026-04-16 11:55:05
7,B,0.0913,0.0913,0.0,1.6719,0.0,0.9647,0.3754,0.5247,0.2015,0.1956,0.1956,0.0,1.6838,0.0,0.908,0.3451,0.4321,0.1948,5.00e-05,2.00e-04,884.6,2026-04-16 12:09:51
8,B,0.3433,0.0823,0.3262,1.6791,0.0,0.9667,0.8651,0.8785,0.1977,0.3638,0.0846,0.349,1.6885,0.0,0.9818,0.8033,0.8395,0.1981,5.00e-05,2.00e-04,874.8,2026-04-16 12:24:27
9,B,0.2171,0.0671,0.1875,1.6735,0.0,0.9755,0.9263,0.9276,0.1997,0.4569,0.1221,0.4186,1.6637,0.0,0.9482,0.7663,0.7784,0.1991,5.00e-05,2.00e-04,864.6,2026-04-16 12:38:52
10,B,0.1825,0.0564,0.1576,1.6734,0.0,0.9811,0.9365,0.939,0.2027,0.516,0.1274,0.4857,1.6677,0.0,0.9486,0.7498,0.767,0.2049,2.50e-05,1.00e-04,868.4,2026-04-16 12:53:21
11,B,0.1317,0.0382,0.1169,1.674,0.0,0.9867,0.9556,0.9566,0.2005,0.3213,0.0443,0.3463,1.6691,0.0,0.9882,0.8243,0.8615,0.2056,2.50e-05,1.00e-04,859.3,2026-04-16 13:07:42
12,B,0.1229,0.0387,0.1052,1.6732,0.0,0.987,0.9609,0.9607,0.2007,0.3668,0.1674,0.2492,1.6807,0.0,0.9306,0.8737,0.8397,0.208,2.50e-05,1.00e-04,855.3,2026-04-16 13:21:58
13,B,0.1153,0.0356,0.0996,1.6716,0.0,0.9878,0.9622,0.9624,0.2045,0.2149,0.0821,0.166,1.6703,0.0,0.9698,0.9172,0.9102,0.2054,2.50e-05,1.00e-04,866.6,2026-04-16 13:36:25
14,B,0.0996,0.0312,0.0856,1.6693,0.0,0.99,0.9685,0.9683,0.2067,0.2079,0.0679,0.175,1.6737,0.0,0.9774,0.9066,0.9097,0.2082,1.25e-05,5.00e-05,850.0,2026-04-16 13:50:37
15,B,0.0852,0.0264,0.0734,1.6708,0.0,0.9917,0.9738,0.9742,0.2057,0.3527,0.1574,0.2441,1.6819,0.0,0.9432,0.874,0.8517,0.1988,1.25e-05,5.00e-05,863.9,2026-04-16 14:05:01
16,B,0.0831,0.027,0.0701,1.6702,0.0,0.9913,0.9737,0.9736,0.2028,0.3107,0.0581,0.3158,1.6735,0.0,0.9818,0.8575,0.8789,0.1944,1.25e-05,5.00e-05,872.2,2026-04-16 14:19:34
17,B,0.0775,0.024,0.0669,1.6696,0.0,0.9924,0.9756,0.9758,0.2063,0.3363,0.1049,0.2891,1.6759,0.0,0.9658,0.8646,0.8683,0.1985,1.25e-05,5.00e-05,876.5,2026-04-16 14:34:12
18,B,0.0708,0.0197,0.0638,1.6676,0.0,0.9936,0.9763,0.9774,0.2047,0.439,0.0651,0.4673,1.6779,0.0,0.9788,0.7732,0.8154,0.2094,6.25e-06,2.50e-05,914.3,2026-04-16 14:49:27
19,B,0.0655,0.0196,0.0574,1.6701,0.0,0.9936,0.9782,0.9788,0.2022,0.3739,0.0919,0.3525,1.6768,0.0,0.9705,0.8434,0.8582,0.2032,6.25e-06,2.50e-05,921.0,2026-04-16 15:04:48
20,C,0.0608,0,0,0,0,0,0,0.2026,0.9809,0,0,0,0.3293,0.866,0.2109,0,0,0.3,1.00e-06,1.00e-04,5.00e-05,908.1,2026-04-16 15:19:57
