epoch,phase,trn_loss,trn_binary,trn_drug3,trn_time,trn_supcon,trn_binary_acc,trn_drug3_acc,trn_drug4_acc,trn_time_acc,val_loss,val_binary,val_drug3,val_time,val_supcon,val_binary_acc,val_drug3_acc,val_drug4_acc,val_time_acc,lr_backbone,lr_head,elapsed_s,timestamp
1,A,0.4521,0.4521,0.0,1.6867,0.0,0.7508,0.3845,0.4223,0.1965,0.4887,0.4887,0.0,1.7445,0.0,0.7271,0.3316,0.2416,0.1933,0.00e+00,2.00e-04,891.2,2026-04-17 04:37:53
2,A,0.3386,0.3386,0.0,1.6808,0.0,0.8387,0.3701,0.4426,0.1972,0.4931,0.4931,0.0,1.8149,0.0,0.7309,0.3756,0.2782,0.1957,0.00e+00,2.00e-04,876.6,2026-04-17 04:52:30
3,A,0.2934,0.2934,0.0,1.6833,0.0,0.869,0.3531,0.4455,0.195,0.5683,0.5683,0.0,1.7953,0.0,0.7285,0.3566,0.261,0.1957,0.00e+00,2.00e-04,883.3,2026-04-17 05:07:14
4,A,0.2085,0.2085,0.0,1.674,0.0,0.9083,0.3302,0.4587,0.1994,0.1999,0.1999,0.0,1.6585,0.0,0.9467,0.356,0.479,0.1968,5.00e-05,2.00e-04,898.9,2026-04-17 05:22:14
5,B,0.1275,0.1275,0.0,1.6706,0.0,0.9487,0.3285,0.4808,0.1993,0.2164,0.2164,0.0,1.6599,0.0,0.9104,0.3422,0.4362,0.1926,5.00e-05,2.00e-04,897.3,2026-04-17 05:37:13
6,B,1.1217,0.1019,0.3433,1.5799,0.0,0.9601,0.856,0.8675,0.2482,1.088,0.114,0.3711,1.6931,0.0,0.9708,0.7689,0.8086,0.2023,5.00e-05,2.00e-04,962.2,2026-04-17 05:53:15
7,B,0.867,0.0851,0.1888,1.4909,0.0,0.9678,0.9237,0.9201,0.3007,1.2073,0.1861,0.4493,1.6548,0.0,0.9162,0.7293,0.7195,0.2072,5.00e-05,2.00e-04,962.2,2026-04-17 06:09:19
8,B,0.7669,0.0644,0.1527,1.4321,0.0,0.9759,0.9399,0.9382,0.3306,0.9788,0.1128,0.2207,1.7283,0.0,0.9549,0.9064,0.8874,0.2126,2.50e-05,1.00e-04,960.8,2026-04-17 06:25:21
9,B,0.6796,0.0491,0.1162,1.378,0.0,0.9835,0.9554,0.9544,0.3592,0.9863,0.1194,0.2351,1.7032,0.0,0.9504,0.8743,0.8593,0.2194,2.50e-05,1.00e-04,954.8,2026-04-17 06:41:17
10,B,0.6462,0.0437,0.1051,1.3496,0.0,0.9851,0.9587,0.9583,0.3734,0.9384,0.0722,0.2564,1.66,0.0,0.9766,0.8563,0.8727,0.2215,2.50e-05,1.00e-04,962.9,2026-04-17 06:57:20
11,B,0.6064,0.035,0.0896,1.3304,0.0,0.9873,0.966,0.9647,0.3792,0.8861,0.0385,0.191,1.7453,0.0,0.9892,0.899,0.9159,0.2388,2.50e-05,1.00e-04,963.9,2026-04-17 07:13:25
12,B,0.5957,0.0361,0.0873,1.3123,0.0,0.9884,0.9678,0.9667,0.3906,1.0152,0.213,0.1653,1.6831,0.0,0.9213,0.9204,0.8637,0.2283,1.25e-05,5.00e-05,970.8,2026-04-17 07:29:37
13,B,0.5658,0.0309,0.0751,1.2929,0.0,0.9896,0.9723,0.9711,0.3994,0.8345,0.1021,0.0703,1.7013,0.0,0.9608,0.9754,0.9431,0.2267,1.25e-05,5.00e-05,964.1,2026-04-17 07:45:42
14,B,0.5419,0.027,0.0642,1.2823,0.0,0.9913,0.9753,0.9745,0.4035,0.9607,0.1386,0.1545,1.7549,0.0,0.9484,0.9219,0.8929,0.2351,1.25e-05,5.00e-05,957.4,2026-04-17 08:01:41
15,B,0.5375,0.0254,0.0658,1.2778,0.0,0.9926,0.9766,0.9769,0.4044,1.0367,0.2095,0.1812,1.7127,0.0,0.915,0.9114,0.851,0.2314,1.25e-05,5.00e-05,918.0,2026-04-17 08:17:00
16,B,0.5298,0.0261,0.0619,1.2667,0.0,0.9917,0.9768,0.9761,0.4114,0.8848,0.0728,0.1044,1.8308,0.0,0.9743,0.9506,0.9396,0.2287,6.25e-06,2.50e-05,921.5,2026-04-17 08:32:22
17,B,0.5191,0.0221,0.0604,1.2584,0.0,0.9934,0.9779,0.9782,0.4212,0.8893,0.0887,0.1019,1.8068,0.0,0.964,0.9524,0.9295,0.2302,6.25e-06,2.50e-05,912.8,2026-04-17 08:47:36
18,B,0.5027,0.0178,0.0562,1.248,0.0,0.9942,0.9798,0.9802,0.4219,0.9647,0.0955,0.1943,1.7931,0.0,0.9675,0.8901,0.889,0.2291,6.25e-06,2.50e-05,876.9,2026-04-17 09:02:13
19,B,0.5004,0.019,0.0546,1.2453,0.0,0.9949,0.9806,0.9814,0.4225,0.9509,0.0869,0.1827,1.8027,0.0,0.9702,0.899,0.8973,0.2274,6.25e-06,2.50e-05,881.4,2026-04-17 09:16:56
