epoch,phase,trn_loss,trn_binary,trn_drug3,trn_time,trn_supcon,trn_binary_acc,trn_drug3_acc,trn_drug4_acc,trn_time_acc,val_loss,val_binary,val_drug3,val_time,val_supcon,val_binary_acc,val_drug3_acc,val_drug4_acc,val_time_acc,lr_backbone,lr_head,elapsed_s,timestamp
1,A,0.4517,0.4517,0.0,1.6862,0.0,0.7511,0.3827,0.4217,0.1981,0.4927,0.4927,0.0,1.7429,0.0,0.7294,0.3375,0.2482,0.1987,0.00e+00,2.00e-04,874.9,2026-04-18 13:35:02
2,A,0.339,0.339,0.0,1.6803,0.0,0.8392,0.3731,0.4454,0.1959,0.4903,0.4903,0.0,1.809,0.0,0.7307,0.3924,0.2897,0.1979,0.00e+00,2.00e-04,862.8,2026-04-18 13:49:26
3,A,0.2936,0.2936,0.0,1.6806,0.0,0.868,0.3556,0.4474,0.198,0.5517,0.5517,0.0,1.7776,0.0,0.7287,0.3544,0.2596,0.1985,0.00e+00,2.00e-04,859.6,2026-04-18 14:03:46
4,A,0.2108,0.2108,0.0,1.6731,0.0,0.9083,0.3283,0.4564,0.1968,0.2529,0.2529,0.0,1.6982,0.0,0.9122,0.3591,0.447,0.197,5.00e-05,2.00e-04,876.0,2026-04-18 14:18:22
5,A,0.1286,0.1286,0.0,1.6685,0.0,0.9483,0.3303,0.4822,0.2021,0.2895,0.2895,0.0,1.6661,0.0,0.8365,0.3973,0.3988,0.1908,5.00e-05,2.00e-04,866.1,2026-04-18 14:32:50
6,A,0.1031,0.1031,0.0,1.6721,0.0,0.9593,0.3443,0.5,0.1972,0.1647,0.1647,0.0,1.698,0.0,0.9501,0.3425,0.4764,0.195,5.00e-05,2.00e-04,856.7,2026-04-18 14:47:07
7,B,0.0891,0.0891,0.0,1.6721,0.0,0.9661,0.3576,0.5128,0.1993,0.1556,0.1556,0.0,1.6699,0.0,0.9402,0.3351,0.458,0.1937,5.00e-05,2.00e-04,856.4,2026-04-18 15:01:25
8,B,0.5139,0.0764,0.3141,1.6812,0.0,0.9717,0.8717,0.8869,0.195,0.466,0.1673,0.3736,1.6528,0.0,0.9405,0.8071,0.8193,0.2113,5.00e-05,2.00e-04,863.4,2026-04-18 15:15:49
9,B,0.2414,0.0613,0.1774,1.6829,0.0,0.9793,0.9291,0.9323,0.1973,0.2708,0.0641,0.264,1.6554,0.0,0.9817,0.8453,0.8748,0.2081,5.00e-05,2.00e-04,869.1,2026-04-18 15:30:19
10,B,0.1698,0.0514,0.1514,1.6791,0.0,0.9833,0.9404,0.9434,0.2013,0.3033,0.0663,0.3017,1.6583,0.0,0.9793,0.8253,0.8525,0.2116,5.00e-05,2.00e-04,877.0,2026-04-18 15:44:57
11,B,0.0974,0.0425,0.1175,1.6768,0.0,0.9861,0.9551,0.9554,0.2022,0.3751,0.0673,0.3906,1.6816,0.0,0.9781,0.8021,0.8356,0.2034,2.50e-05,1.00e-04,880.8,2026-04-18 15:59:39
12,B,0.0431,0.0358,0.0942,1.6787,0.0,0.9886,0.9636,0.9643,0.2,0.3694,0.1371,0.2945,1.6976,0.0,0.946,0.837,0.8277,0.2041,2.50e-05,1.00e-04,863.9,2026-04-18 16:14:03
13,B,0.0164,0.031,0.0841,1.678,0.0,0.9901,0.9694,0.9694,0.2055,0.1895,0.0755,0.151,1.6896,0.0,0.9721,0.9249,0.9178,0.2029,2.50e-05,1.00e-04,858.3,2026-04-18 16:28:23
14,B,-0.0116,0.0272,0.0718,1.6774,0.0,0.9914,0.9736,0.9735,0.2072,0.2576,0.0527,0.2637,1.6817,0.0,0.983,0.8749,0.8952,0.2034,2.50e-05,1.00e-04,859.2,2026-04-18 16:42:43
15,B,-0.0259,0.0253,0.0699,1.6782,0.0,0.9928,0.9754,0.9759,0.2035,0.1653,0.0294,0.1783,1.6796,0.0,0.9905,0.9105,0.9258,0.2037,1.25e-05,5.00e-05,863.0,2026-04-18 16:57:07
16,B,-0.0529,0.0215,0.0585,1.6784,0.0,0.993,0.9789,0.9786,0.2036,0.1668,0.044,0.162,1.6689,0.0,0.9853,0.9157,0.9283,0.2069,1.25e-05,5.00e-05,855.4,2026-04-18 17:11:23
17,B,-0.058,0.0204,0.0571,1.6776,0.0,0.9941,0.9797,0.9804,0.2069,0.227,0.0593,0.2179,1.6696,0.0,0.9799,0.8869,0.9047,0.207,1.25e-05,5.00e-05,862.8,2026-04-18 17:25:47
18,B,-0.0759,0.0146,0.0538,1.6761,0.0,0.9956,0.9804,0.9823,0.2033,0.4641,0.0621,0.5079,1.6811,0.0,0.9793,0.7685,0.8141,0.2145,1.25e-05,5.00e-05,859.3,2026-04-18 17:40:07
19,B,-0.0769,0.0162,0.0514,1.6787,0.0,0.9953,0.9808,0.9819,0.202,0.3795,0.043,0.4271,1.6715,0.0,0.9861,0.8234,0.8597,0.2,6.25e-06,2.50e-05,861.7,2026-04-18 17:54:29
